method,inference_nstep,start,start_type,starts_file,particles,updates_completed,termination_reason,elapsed_seconds,optimizer_elapsed_seconds,elapsed_time_offset_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,selected_pseudo_loglik,terminal_pseudo_loglik,minimum_ess,maximum_invalid_fraction,restarts,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,time-budget,859.6638767835684,615.2214431879111,244.44243359565735,174,856.0177737674676,-8157.068390140042,-4802.858927535924,-4821.510125383978,1.0000000000001243,0.19,5,15.576408255642754,0.2355537634144995,21.64993386975413,-0.0002408133147602482,4.994893867187788,0.5,-0.9902505570282597,3.6030332163583103,1.8548045243076616,0.0,2.0163885032743996,6.447901775110975,-6.709926659672205,-0.4190291078419975,-4.013032739453031,-1.2682044131511168,-3.3831570263197044,-6.008899318390303,0.037327996095081584,0.2482957384797469,0.22149738286724513,0.24865211450129293,0.24422676805663343,2.7457574782838523,-1.445816096827233,3.075002399929013,-0.02408133147602482,1.6084161640645263,-0.6931471805599453,-0.9902505570282597,3.6030332163583103,1.8548045243076616,0.0,2.0163885032743996,6.447901775110975,-6.709926659672205,-0.4190291078419975,-4.013032739453031,-1.2682044131511168,-3.3831570263197044,-6.008899318390303,-1.8963111783828683,-0.0014342594720954925,-0.11564401513334142,0.0,-0.017957618080148157
Corenflos DPF,20,1,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,843.0692238237243,598.626790228067,244.44243359565735,175,843.0692238237243,-19145.276515111487,-5418.094712363853,-5418.094712363853,1.0000000000000178,0.29,1,11.471586844559022,0.49872802389979337,11.177435672574195,-0.009913500865344307,4.9948005993540585,0.5,-0.2393748188926219,1.884642061525082,2.716180034070936,5.749933245085921,0.6501425298929673,6.426338651835635,-2.4304401790310934,-8.289592291278783,-7.210855584544012,-5.458175696653123,-7.8564982843420035,-5.363081121163894,0.052160180785632254,0.05600868897238511,0.3079532133550164,0.573522524902888,0.010355391984078215,2.439873268961789,-0.695694374105142,2.413897074027729,-0.9913500865344307,1.608397491254453,-0.6931471805599453,-0.2393748188926219,1.884642061525082,2.716180034070936,5.749933245085921,0.6501425298929673,6.426338651835635,-2.4304401790310934,-8.289592291278783,-7.210855584544012,-5.458175696653123,-7.8564982843420035,-5.363081121163894,-2.397477828407346,-2.326290373081741,-0.6218493452585676,0.0,-4.014289863300303
Corenflos DPF,20,2,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,772.2255239966325,527.7830904009752,244.44243359565735,175,772.2255239966325,-17619.876823049966,-4536.9910010245985,-4536.9910010245985,1.0000000000002203,0.0,3,23.164791775681117,0.505387383627341,4.570875517208848,-0.0024365515171264973,2.3911362420683817,0.5,3.514559305100783,3.2125624720886417,1.8744041202484965,4.504267888225818,2.8183276263522234,3.669654354215052,-3.971810670112995,-5.94202360441819,-7.596103132298959,-3.8780314357931673,-9.209916897365208,-3.6933213856717937,0.14047820066218283,0.2402781594593175,0.22599433853108702,0.25704311269654545,0.13620618865086725,3.1426335300814445,-0.6824300474829973,1.5197047658151044,-0.24365515171264973,0.8717686680608427,-0.6931471805599453,3.514559305100783,3.2125624720886417,1.8744041202484965,4.504267888225818,2.8183276263522234,3.669654354215052,-3.971810670112995,-5.94202360441819,-7.596103132298959,-3.8780314357931673,-9.209916897365208,-3.6933213856717937,-0.6041915032025524,-0.06744657453944114,-0.1287338762980922,0.0,-0.63507399386081
Corenflos DPF,20,3,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,820.0108035316225,575.5683699359652,244.44243359565735,175,820.0108035316225,-7656.102745467999,-3851.973214088695,-3851.973214088695,1.0000000000000053,0.53,0,26.27273741774835,0.050963030038850096,23.826413903112996,-0.00604665304432468,4.372169633610624,0.3821130234832638,2.1824395004951445,4.543839256264613,1.9247355260651646,3.1153944610879956,3.8965996337221434,4.1406974099224145,-0.236883119070341,-2.245134863570596,-4.247843689405644,-4.072325570260482,-4.984692569740809,-3.4454332895817945,0.0035560081774331275,0.6797044930220637,0.025054614637751195,0.2026974499522043,0.0889874342105477,3.268531801456658,-2.9766548103247463,3.170794793135664,-0.604665304432468,1.4752593695640215,-0.9620388411445069,2.1824395004951445,4.543839256264613,1.9247355260651646,3.1153944610879956,3.8965996337221434,4.1406974099224145,-0.236883119070341,-2.245134863570596,-4.247843689405644,-4.072325570260482,-4.984692569740809,-3.4454332895817945,-5.253019517367813,0.0,-3.300600106991554,-1.2099436616571524,-2.0331629635138886
Corenflos DPF,20,4,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,774.3739311376121,529.9314975419547,244.44243359565735,175,774.3739311376121,-5808.433044742889,-5327.975697215416,-5327.975697215416,1.000000006648527,0.26,1,12.434405867876036,0.4786644300663302,23.801011233502003,-0.0013943532005077199,4.875200774022087,0.5,3.777510070208308,3.9377292443459964,-0.4302397607594675,7.614195861853375,0.7907434264044099,2.1706290950910483,-7.722801250868411,-4.801172928781055,-2.1630277459395635,-6.478794834030811,-1.948195534813973,-8.252184708617854,0.26668055595310686,0.12501664837461132,0.26316191212534196,0.26668055595310686,0.07846032759383297,2.520467297093089,-0.7367554906163707,3.1697280685774105,-0.139435320050772,1.5841612880165428,-0.6931471805599453,3.777510070208308,3.9377292443459964,-0.4302397607594675,7.614195861853375,0.7907434264044099,2.1706290950910483,-7.722801250868411,-4.801172928781055,-2.1630277459395635,-6.478794834030811,-1.948195534813973,-8.252184708617854,0.0,-0.7576046070370098,-0.013282044258029747,0.0,-1.2234584063975242
Corenflos DPF,20,5,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,637.0467933376785,392.6043597420212,244.44243359565735,175,637.0467933376785,-8142.508079276129,-4300.219312847146,-4300.219312847146,1.000000000004679,0.37,0,31.4445636722559,0.21936810121272657,3.080638309337139,0.0,4.999999999999999,0.5,1.5014496959291037,8.0,2.829079215598454,4.567062652049878,4.324851110181815,3.347664741922123,-1.9100815901634711,-5.705311571728043,-6.8760423481303485,-7.130345849560806,-4.926962128100259,0.0,0.35087386508636825,0.1221452662500422,0.12541845993028036,0.054366414078131274,0.3471959946551779,3.448226111997014,-1.5170041327198434,1.1251368188048376,0.0,1.6094379124341003,-0.6931471805599453,1.5014496959291037,8.0,2.829079215598454,4.567062652049878,4.324851110181815,3.347664741922123,-1.9100815901634711,-5.705311571728043,-6.8760423481303485,-7.130345849560806,-4.926962128100259,0.0,0.0,-1.0552157567812557,-1.028770974412577,-1.864680225223115,-0.01053735356449576
Corenflos DPF,20,6,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,0,no-valid-filter-evaluation,245.34275764250197,0.9003240468446165,244.44243359565735,0,245.34275764250197,-24347.652867432418,-24347.652867432418,-24347.652867432418,1.0000026750632287,1.0,0,37.19106292724609,0.5203720927238464,19.124897003173825,-0.005993632134050131,3.1148433685302734,0.1910760998725891,-1.4624509811401367,1.9969367980957031,-3.392454147338867,7.118941307067871,7.166921615600586,5.0395355224609375,-3.9792561531066895,-0.5597877502441406,-0.8142709732055664,-9.806231498718262,-8.334761619567871,-8.679618835449219,0.3023244309044635,0.31269287287125336,0.14306177710176646,0.1837933005540942,0.058127618568422586,3.61606848852468,-0.6532111603692794,2.9509909942431345,-0.5993632134050131,1.13617886799935,-1.655083501634827,-1.4624509811401367,1.9969367980957031,-3.392454147338867,7.118941307067871,7.166921615600586,5.0395355224609375,-3.9792561531066895,-0.5597877502441406,-0.8142709732055664,-9.806231498718262,-8.334761619567871,-8.679618835449219,-0.03372075670606467,0.0,-0.7819449273029775,-0.5314097123730845,-1.6825805584467846
Corenflos DPF,20,7,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,662.7974488406908,418.3550152450334,244.44243359565735,175,662.7974488406908,-5428.885528969531,-5142.865121308621,-5142.865121308621,1.0000000031979859,0.0,5,10.059092693518087,0.1121532791523907,16.447288041952937,-0.0048549854848096855,2.370794170891408,0.5,1.0623497484073428,2.9910900976283785,-2.0533928841728466,7.318755433463932,0.6191748171339885,2.3384169329848636,-2.574762477976479,-0.8629603041263864,-2.985884015176102,-6.222400914410927,-6.559306546458777,-1.1358559594373552,0.05685975795324721,0.23886994111359697,0.25073911521512493,0.19339631525838571,0.2601348704596452,2.30847697109315,-2.1878887794563826,2.8001606029488126,-0.4854985484809685,0.8632249922189773,-0.6931471805599453,1.0623497484073428,2.9910900976283785,-2.0533928841728466,7.318755433463932,0.6191748171339885,2.3384169329848636,-2.574762477976479,-0.8629603041263864,-2.985884015176102,-6.222400914410927,-6.559306546458777,-1.1358559594373552,-1.5206123797333966,-0.08528100468628778,-0.03678721207032255,-0.29645869865826086,0.0
Corenflos DPF,20,8,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,139,maximum-restarts,734.6768010777887,490.23436748213135,244.44243359565735,139,734.6768010777887,-7334.385162992932,-6549.985109502747,-6549.985109502747,1.0000000000014353,0.6900000000000001,6,14.934336598624265,0.14840371912394895,24.86879774807409,-0.00875321058352699,4.085958090984329,0.24590288279155798,-2.505690881483843,3.428842295471637,1.7645915589575252,3.3963920093907376,7.203706521669761,3.7483910577450317,-3.6239625536970563,-0.20430157246188532,-2.253756660577426,-9.053747959802758,-8.36099626464664,-6.412089633955161,0.2026993951490888,0.29056975936558704,0.2038043066271584,0.08539403410209291,0.2175325047560728,2.703663031439746,-1.9078188870807549,3.213613915194238,-0.875321058352699,1.4075562396086958,-1.402818606398217,-2.505690881483843,3.428842295471637,1.7645915589575252,3.3963920093907376,7.203706521669761,3.7483910577450317,-3.6239625536970563,-0.20430157246188532,-2.253756660577426,-9.053747959802758,-8.36099626464664,-6.412089633955161,-0.36011961349126137,0.0,-0.35468343077372877,-1.2245674429088054,-0.2894953964568324
Corenflos DPF,20,9,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,839.6589245006908,595.2164909050334,244.44243359565735,175,839.6589245006908,-5870.166501392874,-4060.08868203203,-4060.08868203203,1.0000000000007425,0.33,0,15.941115969592623,0.19650389018941877,17.465491762396024,0.0,3.910825386805933,0.49366487891815075,-1.1453913969538672,5.913301301546482,-0.4638953840967733,0.00828426077263815,6.070972006229224,1.121346917737572,-1.2518106308594144,-6.286484683679671,-6.0919300102298575,-3.624875754132092,-8.637918904702913,-0.37646704214446547,0.26331990863106747,0.16150464456709765,0.26331990863106747,0.26331990863106747,0.048535629539699796,2.7689016815508753,-1.6270730504671649,2.8602270348847827,0.0,1.3637484480893747,-0.7058983747566944,-1.1453913969538672,5.913301301546482,-0.4638953840967733,0.00828426077263815,6.070972006229224,1.121346917737572,-1.2518106308594144,-6.286484683679671,-6.0919300102298575,-3.624875754132092,-8.637918904702913,-0.37646704214446547,0.0,-0.4888357744328386,0.0,0.0,-1.691071517691752
